Amazon_Product_Name,Flipkart_Product_Name,Brand_Similarity,Color_Similarity,Capacity_Similarity,Product_Name_Similarity
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-M/TL, Mirror Black)",1.0,1.0,1.0,0.78
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B, Full Black)",1.0,0.71,1.0,0.71
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)",1.0,1.0,1.0,0.94
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)",1.0,1.0,1.0,0.82
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE77JD-QB/TL, Black)",1.0,1.0,1.0,0.76
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",1.0,1.0,1.0,1.0
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",1.0,1.0,1.0,0.82
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-M/TL, Mirror Black)",1.0,1.0,1.0,0.82
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B, Full Black)",1.0,0.71,1.0,0.75
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)",1.0,1.0,1.0,1.0
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)",1.0,1.0,1.0,0.87
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE77JD-QB/TL, Black)",1.0,1.0,1.0,0.8
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",1.0,1.0,1.0,0.94
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",1.0,1.0,1.0,0.61
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)",1.0,1.0,1.0,0.57
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",1.0,1.0,1.0,0.54
"Godrej 23 L Steam Clean, Digital Display Convection Microwave Oven With 205 Instacook Receipes (GME 523 CF1 RM, Floral Black, Stainless Steel Cavity With Godrej Instachef App)","Godrej 23 L Steam Clean, Stainless Steel Cavity, With 205 Insta Cook Recipes, Convection Microwave Oven  (GME 523 CF1 RM, Black)",1.0,0.71,1.0,0.8
"Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)","Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)",1.0,0.71,1.0,1.0
"Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)","Haier 23 L Convection Microwave Oven  (HIL2302CRSH:IN/MWO/DL, Black)",1.0,0.71,1.0,0.86
