Amazon_Product_Name,Flipkart_Product_Name,Amazon_Color,Flipkart_Color,Product_Name_Similarity,Brand_Similarity,Color_Similarity
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 42 L Inverter Solo Microwave Oven  (MS4295DIS, Black)",Black,Black,0.52,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 32 L With Twister Smog Handle Convection Microwave Oven  (MJEN326TL, Black)",Black,Black,0.52,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 32 L With Twister Smog Handle Convection Microwave Oven  (MJEN326SF, Black)",Black,Black,0.52,1,1
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC5, Black)","Black, Silver",Black,0.55,1,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)","Black, Silver",Black,0.59,1,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC4, Black)","Black, Silver",Black,0.59,1,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)","Black, Silver",Silver,0.71,1,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)","Black, Silver",Silver,0.52,1,0.71
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)","Black, Silver","Silver, Black",0.51,1,1
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 30 L Convection & Grill Microwave Oven  (30BRC3, BLACK)","Black, Silver",Black,0.55,1,0.71
